saleor_field,spree_field,transform
id,id,direct
number,number,direct
created,created_at,direct
updatedAt,updated_at,direct
userEmail,email,direct
customerNote,customer_note,direct
status,status,transform
paymentStatus,payment_status,transform
languageCodeEnum,locale,transform
total,total,transform
subtotal,item_total,transform
shippingPrice,delivery_total,transform
user,customer,structural
billingAddress,billing_address,structural
shippingAddress,shipping_address,structural
channel,channel,structural
fulfillments,fulfillments,structural
lines,items,structural
discounts,discounts,structural
trackingClientId,,none
weight,,none
invoices,,none
